member_id,profile_name,source_url,tag_type,tag,normalized_tag,taxonomy_status,includes_legacy_narrative,built_at_utc,source_types,supporting_source_count,supporting_source_labels
mem_1da9136136,Oury Monchi,https://profiles.ucalgary.ca/oury-monchi,hbi_umbrella,Imaging and Diagnostics,imaging and diagnostics,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Neuroimaging
mem_1da9136136,Oury Monchi,https://profiles.ucalgary.ca/oury-monchi,hbi_umbrella,Neurological Disorders,neurological disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,3,Dementia & Cognitive Disorders || Movement Disorders || dementia
mem_233f37a4ef,Ashley Harris,https://profiles.ucalgary.ca/ashley-harris,mesh_concept,Brain Injuries,brain injuries,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Brain Injury
mem_233f37a4ef,Ashley Harris,https://profiles.ucalgary.ca/ashley-harris,mesh_concept,Neurodevelopmental Disorders,neurodevelopmental disorders,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Neurodevelopmental disorders
mem_233f37a4ef,Ashley Harris,https://profiles.ucalgary.ca/ashley-harris,mesh_concept,Neuroimaging,neuroimaging,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Neuroimaging
mem_233f37a4ef,Ashley Harris,https://profiles.ucalgary.ca/ashley-harris,hbi_umbrella,Brain Injury and Neurotrauma,brain injury and neurotrauma,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Brain Injury
mem_233f37a4ef,Ashley Harris,https://profiles.ucalgary.ca/ashley-harris,hbi_umbrella,Imaging and Diagnostics,imaging and diagnostics,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Neuroimaging
mem_233f37a4ef,Ashley Harris,https://profiles.ucalgary.ca/ashley-harris,hbi_umbrella,Mental Health,mental health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Neurodevelopmental disorders
mem_2561dcafb5,Darren Derksen,https://profiles.ucalgary.ca/darren-derksen,mesh_concept,Therapeutics,therapeutics,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_detail,1,Novel Therapeutics and Medicinal Chemistry
mem_2561dcafb5,Darren Derksen,https://profiles.ucalgary.ca/darren-derksen,hbi_umbrella,Pharmacology and Therapeutics,pharmacology and therapeutics,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_detail,1,Novel Therapeutics and Medicinal Chemistry
mem_27ca2caae0,Mark Colijn,https://profiles.ucalgary.ca/mark-colijn,mesh_concept,Genetics,genetics,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,1,Schizophrenia genetics
mem_27ca2caae0,Mark Colijn,https://profiles.ucalgary.ca/mark-colijn,mesh_concept,Schizophrenia,schizophrenia,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,1,Schizophrenia genetics
mem_27ca2caae0,Mark Colijn,https://profiles.ucalgary.ca/mark-colijn,hbi_umbrella,Genetics and Genomics,genetics and genomics,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,1,Schizophrenia genetics
mem_27ca2caae0,Mark Colijn,https://profiles.ucalgary.ca/mark-colijn,hbi_umbrella,Mental Health,mental health,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_list,1,Schizophrenia genetics
mem_28a1b9d70f,Clare Gallagher,https://profiles.ucalgary.ca/clare-gallagher,mesh_concept,Brain Injuries,brain injuries,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Brain Injury
mem_28a1b9d70f,Clare Gallagher,https://profiles.ucalgary.ca/clare-gallagher,hbi_umbrella,Brain Injury and Neurotrauma,brain injury and neurotrauma,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Brain Injury
mem_2b973efd83,Richard Dyck,https://profiles.ucalgary.ca/richard-dyck,mesh_concept,Brain Injuries,brain injuries,accepted,false,2026-07-31T20:56:20.541600+00:00,declared_area_title,1,Brain Injury
